,hour,Spring,Summer,Fall,Winter
0,00,0.004368208108512612,0.005535768771982402,0.005212544069773329,0.004431958432198534
1,01,0.004382118885672414,0.005706872526481026,0.00519153038046695,0.004461775060573124
2,02,0.00432905708956113,0.005753271941959201,0.005198484268929028,0.004500448592255565
3,03,0.004375414503878643,0.005602772705428135,0.005160563736924475,0.004514345190673703
4,04,0.004392111763117384,0.0055870029649399645,0.005145321022534873,0.004512287749147515
5,05,0.004352813623024521,0.005668734490333467,0.005165025386557068,0.0044920082994766635
6,06,0.004328401159574477,0.0056994414324083335,0.005134215327101668,0.004428197099600511
7,07,0.00430297320172266,0.0056822327304747585,0.0050508608044970895,0.0043187336577431065
8,08,0.004291648278578636,0.005858324624097732,0.005083350197669016,0.0041911728220172815
9,09,0.0043650582187059915,0.006095819072085576,0.005279405959863887,0.004175928937957277
10,10,0.004130919033286646,0.006461360049030447,0.005606976190496955,0.0042303131334164605
11,11,0.004614817629611371,0.006781593742160895,0.005817864357356209,0.004272177509580119
12,12,0.004674405288183357,0.007052528655192156,0.00598296377894358,0.004232457298671689
13,13,0.0046938155508651,0.007099910583910649,0.006015366712947766,0.004189487450379693
14,14,0.004685239742670911,0.007279467070700915,0.006035952836530162,0.004149020670138171
15,15,0.004585312914561172,0.007442976836696263,0.005929897018501532,0.004128487488992242
16,16,0.004475068327272408,0.007327863755954819,0.005589302335927442,0.004105135977919262
17,17,0.0043158183641080735,0.00700844805117622,0.005182257394843544,0.004129230113200443
18,18,0.004169029929809031,0.006393979734912122,0.0048179107451948805,0.004164424527799534
19,19,0.004140399707381557,0.0057900872151606525,0.004671775479386712,0.004231206730883024
20,20,0.004149605048909185,0.005533441272083565,0.0048442693302405875,0.004301021326635458
21,21,0.004197733087661364,0.005560315388268586,0.0051494378754463905,0.004354521385988094
22,22,0.004284245976396327,0.005579455730380823,0.005258329334185539,0.004370563202782575
23,23,0.004336029972881147,0.005536375074098411,0.0053384768228095115,0.004410205589214341
