,hour,Spring,spring_stdev,Summer,summer_stdev,Fall,fall_stdev,Winter,winter_stdev
0,00,229621.23333333334,69626.66514059904,86102.09782608696,33697.000468710234,95753.54347826086,25180.143629547292,223546.77173913043,65204.71546716864
1,01,226810.6222222222,67361.43224717402,81389.28260869565,31706.6387203354,94539.43478260869,24677.00364240938,218169.65217391305,65476.0354118099
2,02,226789.92134831462,68044.14338100293,79540.75,33556.60794014154,92963.40860215054,24536.001558489632,215505.08695652173,64488.51832179327
3,03,223945.76666666666,66670.95513724262,80495.85869565218,36170.78683965276,93406.96739130435,24969.692289484567,215472.53260869565,62756.942471565424
4,04,224571.8,64285.23056541748,81598.54347826086,36363.73139676313,93890.70652173914,24526.7962603008,217293.13043478262,61421.55144682657
5,05,231301.22222222222,65982.86821403427,82425.80434782608,33148.658478081765,95790.59782608696,25084.536093005583,224047.65217391305,61902.50620926196
6,06,241628.86666666667,69937.810393425,87613.46739130435,32997.17965037877,100229.10869565218,27670.194713593635,234220.35869565216,64424.3306191848
7,07,253775.43333333332,79589.51903695888,95048.36956521739,36655.71590480609,113572.97826086957,36995.06707421429,252134.59782608695,67512.52449007546
8,08,266225.0888888889,86163.6299349666,103785.79347826086,47641.982171267286,122030.95652173914,41120.722229191015,267902.597826087,73449.8452971496
9,09,266472.2,89477.94908755764,105319.86956521739,52538.15071910112,124989.35869565218,42614.898513002605,274596.54347826086,72425.22521950441
10,10,298284.44444444444,373060.45913748234,105932.40217391304,51946.43425182869,124635.10869565218,41208.20246242048,277024.92391304346,70452.40579180319
11,11,259913.96666666667,88582.69489922964,106073.56521739131,47065.021133188566,127170.15217391304,39463.02600231579,279561.64130434784,70824.28795673035
12,12,255148.32222222222,83574.42775286226,105196.61956521739,47992.658423120425,124574.72826086957,36730.797352850335,280282.23913043475,73794.38206102756
13,13,248774.15555555557,79869.55028432458,105077.86956521739,54028.06995225347,123215.22826086957,39566.67144231346,278632.1956521739,73306.32172265364
14,14,243511.7888888889,80083.64171740756,100594.14130434782,43345.365960524236,120322.48913043478,39441.87873548451,275345.22826086957,75726.1946948265
15,15,243773.5,81358.2849540981,95789.16304347826,34074.099265672376,118416.16304347826,37095.31922314317,277225.4347826087,71740.7667787752
16,16,247196.72222222222,83921.0858952925,94260.52173913043,33820.26007005341,120208.28260869565,37650.740057200936,284143.0,72867.34921670727
17,17,256423.6222222222,90152.92621991172,95927.70652173914,35903.38861733455,123435.38043478261,43530.91747298754,285899.17391304346,77337.77458368393
18,18,263818.36666666664,91801.26412654795,99669.16304347826,40516.73657463295,129160.26086956522,48458.61829995407,284346.92391304346,76999.2648906516
19,19,264432.3333333333,89786.05625077129,102316.92391304347,47401.553662216975,130092.05434782608,56922.58109072053,273244.07608695654,74476.42321526902
20,20,259044.73333333334,81323.32799398819,100305.14130434782,40761.36678213113,120272.09782608696,45716.009406623816,259571.8152173913,71519.97300783843
21,21,250764.97777777776,78601.58022216686,95073.97826086957,36669.99040323626,108302.23913043478,32600.98197386404,248672.0652173913,69778.20873852106
22,22,244023.23333333334,77310.23282910226,92577.59782608696,37323.81740549443,102105.08695652174,27740.73020599861,240377.9347826087,66937.10564042549
23,23,236616.85555555555,72602.57665561671,89261.43478260869,36036.3079996515,99244.64130434782,26232.463506942626,233292.88043478262,65688.18355981444
